init_Strategy: 0, init_table: 0, init_desp: 0, inti_Stt: 0, init_COstModel: 0
Simulator Device: fifo part=4, smr part=5
totalreq:10000, readreq:0, wrtreq:9514, hit:3075, readhit:0, flush_ssd_blk:9514 flush_hdd_blk:0
totalreq:20000, readreq:0, wrtreq:19514, hit:7697, readhit:0, flush_ssd_blk:19514 flush_hdd_blk:0
totalreq:30000, readreq:0, wrtreq:29514, hit:12866, readhit:0, flush_ssd_blk:29514 flush_hdd_blk:0
totalreq:40000, readreq:0, wrtreq:39496, hit:18405, readhit:0, flush_ssd_blk:39496 flush_hdd_blk:0
totalreq:50000, readreq:0, wrtreq:49496, hit:24372, readhit:0, flush_ssd_blk:49496 flush_hdd_blk:0
totalreq:60000, readreq:0, wrtreq:59496, hit:30488, readhit:0, flush_ssd_blk:59496 flush_hdd_blk:0
totalreq:70000, readreq:0, wrtreq:69303, hit:35637, readhit:0, flush_ssd_blk:69303 flush_hdd_blk:0
totalreq:80000, readreq:0, wrtreq:78830, hit:40980, readhit:0, flush_ssd_blk:78830 flush_hdd_blk:0
totalreq:90000, readreq:0, wrtreq:88150, hit:45994, readhit:0, flush_ssd_blk:88150 flush_hdd_blk:0
totalreq:100000, readreq:0, wrtreq:97462, hit:49833, readhit:0, flush_ssd_blk:97462 flush_hdd_blk:0
totalreq:110000, readreq:0, wrtreq:107138, hit:55315, readhit:0, flush_ssd_blk:107138 flush_hdd_blk:0
totalreq:120000, readreq:0, wrtreq:116572, hit:61184, readhit:0, flush_ssd_blk:116572 flush_hdd_blk:0
totalreq:130000, readreq:0, wrtreq:125618, hit:67933, readhit:0, flush_ssd_blk:125618 flush_hdd_blk:0
totalreq:140000, readreq:0, wrtreq:134864, hit:73629, readhit:0, flush_ssd_blk:134864 flush_hdd_blk:0
totalreq:150000, readreq:0, wrtreq:144071, hit:78343, readhit:0, flush_ssd_blk:144071 flush_hdd_blk:0
totalreq:160000, readreq:0, wrtreq:153709, hit:83993, readhit:0, flush_ssd_blk:153709 flush_hdd_blk:0
totalreq:170000, readreq:0, wrtreq:162816, hit:89212, readhit:0, flush_ssd_blk:162816 flush_hdd_blk:0
totalreq:180000, readreq:0, wrtreq:171975, hit:94637, readhit:0, flush_ssd_blk:171975 flush_hdd_blk:0
totalreq:190000, readreq:0, wrtreq:180835, hit:100835, readhit:0, flush_ssd_blk:180835 flush_hdd_blk:0
totalreq:200000, readreq:0, wrtreq:189740, hit:106016, readhit:0, flush_ssd_blk:189740 flush_hdd_blk:0
totalreq:210000, readreq:0, wrtreq:198974, hit:111058, readhit:0, flush_ssd_blk:198974 flush_hdd_blk:0
totalreq:220000, readreq:0, wrtreq:208025, hit:116166, readhit:0, flush_ssd_blk:208025 flush_hdd_blk:0
totalreq:230000, readreq:0, wrtreq:216738, hit:121298, readhit:0, flush_ssd_blk:216738 flush_hdd_blk:0
totalreq:240000, readreq:0, wrtreq:225553, hit:125631, readhit:0, flush_ssd_blk:225553 flush_hdd_blk:0
totalreq:250000, readreq:0, wrtreq:233670, hit:129259, readhit:0, flush_ssd_blk:233670 flush_hdd_blk:0
totalreq:260000, readreq:0, wrtreq:241699, hit:133346, readhit:0, flush_ssd_blk:241699 flush_hdd_blk:0
totalreq:270000, readreq:0, wrtreq:250583, hit:136369, readhit:0, flush_ssd_blk:250583 flush_hdd_blk:0
totalreq:280000, readreq:0, wrtreq:259484, hit:139542, readhit:0, flush_ssd_blk:259484 flush_hdd_blk:0
totalreq:290000, readreq:0, wrtreq:268147, hit:143562, readhit:0, flush_ssd_blk:268147 flush_hdd_blk:0
totalreq:300000, readreq:0, wrtreq:277232, hit:147212, readhit:0, flush_ssd_blk:277232 flush_hdd_blk:0
